age,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
20,83522.307,84275.405,84947.354,85610.536,86228.14,86886.419,87368.645,87477.37,86997.266,87251.443,87347.961,87443.726,87429.14,85178.746,86499.132,86625.818,87050.467,84958.884,87233.519,86775.068,90677.282,91634.538,91910.796,92202.052,92492.151,92705.943,92929.313,93107.287,93245.33,93444.203,93604.003,93819.48,94051.968,94276.789,94460.256,94715.509,94932.776,95157.539,95379.521,95591.61,95849.872,96034.827,96155.068,96465.779,96633.916,96771.055,96905.242,97023.573,97114.308,97153.431,97215.362,97260.596,97313.334,97347.977,97380.813,97416.306,97442.521,97463.305,97479.668,97505.054,97527.806,97543.066,97555.305,97578.923,97604.643,97616.054,97645.361,97670.106,97690.121
21,83197.135,83962.111,84643.17,85316.724,85943.19,86613.588,87103.392,87215.239,86729.422,86988.973,87089.73,87189.573,87176.56,84896.82,86238.949,86370.594,86803.987,84684.869,86994.827,86532.51,90496.918,91473.447,91758.026,92058.831,92358.865,92578.496,92806.878,92987.947,93127.735,93329.601,93492.401,93711.724,93948.317,94176.335,94360.282,94617.313,94835.503,95060.176,95282.767,95495.469,95758.845,95947.068,96070.147,96387.775,96560.074,96698.471,96834.739,96954.812,97046.142,97082.133,97144.656,97190.151,97243.389,97278.19,97311.213,97347.314,97373.807,97394.654,97411.291,97437.073,97460.393,97475.941,97488.265,97512.287,97538.62,97550.116,97579.967,97605.287,97625.544
22,82863.974,83640.867,84331.1,85015.042,85650.447,86333.014,86830.377,86945.074,86452.908,86718.026,86822.519,86926.31,86914.708,84603.786,85968.449,86104.995,86547.278,84398.949,86745.746,86279.046,90308.447,91304.784,91597.703,91908.096,92218.126,92443.691,92677.165,92861.405,93002.995,93207.929,93373.901,93597.253,93838.137,94069.536,94254.077,94513.008,94732.246,94956.918,95180.232,95393.67,95662.416,95854.14,95980.35,96305.16,96481.882,96621.649,96760.149,96882.091,96974.091,97006.848,97070.03,97115.835,97169.613,97204.605,97237.841,97274.59,97301.385,97322.307,97339.245,97365.449,97389.373,97405.235,97417.657,97442.109,97469.093,97480.694,97511.118,97537.051,97557.57
23,82522.855,83311.746,84011.248,84705.636,85350.087,86044.918,86549.868,86667.23,86168.208,86439.005,86546.933,86654.597,86644.287,84300.653,85688.543,85829.966,86281.282,84102.341,86487.282,86015.784,90112.611,91129.252,91430.557,91750.605,92070.703,92302.294,92540.94,92728.421,92871.865,93079.941,93249.235,93476.778,93722.118,93957.061,94142.293,94403.241,94623.638,94848.39,95072.527,95286.814,95561.157,95756.583,95886.166,96218.415,96399.795,96541.032,96681.899,96805.823,96898.561,96927.995,96991.893,97038.054,97092.409,97127.619,97161.092,97198.526,97225.646,97246.653,97263.914,97290.563,97315.126,97331.323,97343.857,97368.76,97396.429,97408.839,97439.679,97465.757,97486.556
24,82173.059,82974.095,83683.002,84387.967,85041.607,85748.882,86261.509,86381.42,85875.1,86151.69,86262.909,86374.437,86365.347,83987.585,85399.439,85545.781,86006.33,83795.471,86219.883,85743.245,89909.967,90947.501,91257.322,91587.182,91917.504,92155.241,92399.166,92589.962,92735.303,92946.604,93119.336,93351.217,93601.16,93839.779,94025.756,94288.819,94510.448,94735.33,94960.35,95175.56,95455.697,95654.983,95788.099,96128.063,96314.311,96457.094,96600.435,96726.434,96819.958,96845.963,96910.621,96957.166,97012.131,97047.574,97081.301,97119.453,97146.914,97168.013,97185.617,97212.728,97237.958,97254.509,97267.163,97292.538,97320.921,97336.501,97367.138,97391.683,97412.777
25,81813.633,82627.037,83345.522,84061.268,84724.278,85444.268,85964.722,86087.14,85573.134,85855.652,85970.159,86085.613,86077.723,83664.518,85101.13,85252.512,85722.559,83478.556,85943.807,85461.764,89700.938,90760.07,91078.634,91418.574,91759.383,92003.425,92252.771,92446.969,92594.241,92808.865,92985.123,93221.472,93476.149,93718.55,93905.279,94170.527,94393.419,94618.439,94844.351,95060.516,95346.618,95549.88,95686.611,96034.586,96225.884,96370.261,96516.158,96644.302,96738.637,96761.086,96826.532,96873.47,96929.07,96964.751,96998.737,97037.636,97065.449,97086.642,97104.602,97132.191,97158.111,97175.03,97187.808,97213.67,97242.793,97265.258,97294.637,97315.039,97336.44
26,81443.813,82269.864,82998.133,83724.924,84397.517,85130.561,85659.05,85784.033,85262.101,85550.656,85668.642,85788.155,85781.508,83331.878,84793.975,84950.578,85430.417,83152.343,85659.626,85172.042,89485.909,90567.366,90894.981,91245.359,91597.008,91847.55,92102.486,92300.181,92449.421,92667.47,92847.324,93088.259,93347.79,93594.055,93781.508,94048.99,94273.145,94498.275,94725.052,94942.167,95234.384,95441.706,95582.083,95938.364,96134.872,96280.873,96429.384,96559.725,96654.879,96673.628,96739.873,96787.201,96843.454,96879.368,96913.613,96953.283,96981.454,97002.739,97021.064,97049.141,97075.773,97093.068,97105.972,97132.335,97162.22,97195.461,97222.335,97235.988,97257.703
27,81063.348,81902.359,82640.639,83378.771,84061.178,84807.651,85344.419,85472.143,84942.264,85236.875,85358.758,85482.527,85477.229,82990.734,84478.83,84640.869,85130.767,82818.19,85368.287,84875.195,89265.263,90369.668,90706.679,91067.891,91430.773,91688.024,91948.734,92150.026,92301.275,92522.854,92706.364,92951.992,93216.489,93466.69,93654.829,93924.58,94149.982,94375.182,94602.783,94820.828,95119.298,95330.75,95474.787,95839.652,96041.509,96189.154,96340.326,96472.906,96568.878,96583.781,96650.832,96698.542,96755.46,96791.6,96826.099,96866.562,96895.095,96916.468,96935.166,96963.739,96991.1,97008.78,97021.81,97048.684,97079.35,97126.259,97149.445,97154.673,97176.707
28,80672.514,81524.806,82273.336,83023.111,83715.574,84475.853,85021.166,85151.907,84614.289,84914.881,85041.259,85169.513,85165.722,82642.491,84156.835,84324.522,84824.686,82477.699,85070.908,84572.492,89039.403,90167.208,90513.952,90886.384,91260.879,91525.045,91791.705,91996.695,92149.995,92375.207,92562.433,92812.854,93082.421,93336.627,93525.418,93797.475,94024.115,94249.35,94477.743,94696.703,95001.555,95217.197,95364.905,95738.608,95945.94,96095.248,96249.128,96383.985,96480.776,96491.703,96559.567,96607.652,96665.249,96701.607,96736.357,96777.633,96806.531,96827.989,96847.067,96876.146,96904.251,96922.323,96935.478,96962.875,96994.339,97056.4,97074.799,97071.248,97093.607
29,80271.983,81137.872,81896.897,82658.614,83361.377,84135.821,84689.945,84824.027,84279.001,84585.477,84716.98,84849.952,84847.841,82288.312,83828.975,84002.5,84513.086,82132.066,84768.384,84264.9,88808.75,89960.268,90317.046,90701.045,91087.482,91358.745,91631.519,91840.299,91995.691,92224.636,92415.628,92670.937,92945.673,93203.951,93393.375,93667.785,93895.666,94120.923,94350.096,94569.974,94881.327,95101.216,95252.596,95635.376,95848.299,95999.294,96155.929,96293.103,96390.722,96397.57,96466.256,96514.713,96573.005,96609.578,96644.58,96686.689,96715.958,96737.499,96756.963,96786.557,96815.423,96833.893,96847.174,96875.105,96907.384,96985.4,96997.782,96985.908,97008.598
30,79862.644,80742.436,81512.205,82286.154,82999.465,83788.41,84351.608,84489.359,83937.284,84249.551,84386.77,84524.674,84524.407,81929.085,83496.065,83675.589,84196.716,81782.107,84461.424,83953.121,88573.811,89749.275,90116.344,90512.202,90910.843,91189.35,91468.377,91681.031,91838.549,92071.322,92266.119,92526.403,92806.395,93068.809,93258.855,93535.681,93764.821,93990.109,94220.071,94440.892,94758.85,94983.03,95138.063,95530.148,95748.766,95901.477,96060.916,96200.45,96298.912,96301.609,96371.133,96419.963,96478.97,96515.758,96551.015,96593.98,96623.627,96645.253,96665.11,96695.228,96724.868,96743.744,96757.151,96785.627,96818.738,96913.367,96918.337,96898.906,96921.933
