age,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
20,0.00476286,0.0046211,0.00450395,0.00438178,0.00427264,0.00414502,0.00409964,0.00434821,0.00506295,0.00478889,0.00520556,0.00528989,0.00541588,0.00750178,0.00648873,0.00647508,0.0061997,0.00816091,0.00625914,0.00678088,0.0035979,0.0029459,0.00286222,0.00276261,0.00266479,0.00259904,0.00250694,0.00241393,0.00234511,0.00227271,0.0022425,0.00219489,0.00212523,0.00202462,0.00201267,0.00201271,0.00199274,0.00196195,0.00192328,0.00186263,0.00180486,0.00175987,0.00173029,0.0016687,0.00166305,0.00166596,0.00165671,0.00166433,0.00167091,0.00169718,0.00168645,0.00167978,0.00166353,0.00164746,0.00162885,0.00162744,0.00162669,0.00162796,0.00162253,0.00161622,0.00161116,0.00161046,0.00160096,0.00158752,0.00157039,0.00155627,0.00153378,0.00151272,0.00149742
21,0.00501329,0.00486521,0.00474234,0.00461482,0.00450027,0.0043673,0.00432375,0.00460944,0.00541437,0.00510328,0.00558664,0.0056866,0.00583307,0.0081452,0.00699113,0.00700221,0.00671823,0.00891089,0.00678972,0.00737613,0.00382768,0.00310699,0.00302045,0.00291715,0.00281544,0.00274653,0.00264955,0.00255047,0.00247622,0.00239943,0.00236672,0.00231591,0.00224161,0.00213331,0.00211896,0.00211889,0.00209689,0.00206284,0.00202058,0.00195505,0.00189313,0.00184447,0.00181086,0.00174686,0.00174035,0.00174303,0.00173266,0.00174005,0.00174625,0.00177328,0.00176139,0.00175394,0.00173716,0.00172145,0.00170257,0.0016916,0.0016848,0.00169045,0.00169109,0.00168588,0.00167908,0.00167922,0.00166846,0.00165443,0.00163628,0.0016225,0.00160435,0.00158141,0.00156166
22,0.0052008,0.00504728,0.00491932,0.0047872,0.00466801,0.00453052,0.00448586,0.00478545,0.00562712,0.00529816,0.00580722,0.00591312,0.00606769,0.00848713,0.00725788,0.00723937,0.00696844,0.00927484,0.00706078,0.00767193,0.00397339,0.00322378,0.0031347,0.00302853,0.00292408,0.00285239,0.00275145,0.00264796,0.00256968,0.00248889,0.00245409,0.00240063,0.00232241,0.00220841,0.00219171,0.00219066,0.00216675,0.0021303,0.0020848,0.00201522,0.00194972,0.00189772,0.00186089,0.00179475,0.001787,0.00178905,0.00177775,0.00178479,0.00179045,0.00181782,0.00180484,0.00179653,0.00177999,0.00176361,0.00174596,0.00173466,0.00171801,0.00171759,0.00172248,0.00172345,0.00171775,0.00171631,0.00170686,0.00169077,0.00167223,0.00165803,0.00164062,0.00162222,0.00160109
23,0.00532996,0.00517193,0.00504017,0.00490434,0.00478164,0.00464052,0.00459336,0.00489162,0.00573505,0.0054027,0.00591049,0.00601496,0.00616944,0.00859937,0.00736522,0.00732168,0.00701966,0.00934349,0.0071508,0.00775937,0.00405196,0.00329835,0.00320735,0.00309868,0.00299214,0.00291872,0.00281493,0.00270856,0.00262835,0.00254508,0.00250822,0.00245298,0.0023722,0.00225447,0.00223665,0.00223452,0.0022088,0.00217087,0.00212365,0.00205134,0.0019832,0.00192886,0.0018896,0.00182176,0.00181284,0.00181433,0.00180212,0.00180897,0.00181431,0.00184205,0.0018282,0.00181925,0.00180317,0.00178744,0.0017689,0.0017589,0.00174201,0.00173214,0.00173095,0.00173613,0.00173658,0.0017364,0.00172667,0.00171128,0.00168996,0.00165653,0.00163952,0.00164061,0.00162424
24,0.00541971,0.00525728,0.0051226,0.00498397,0.00485867,0.00471458,0.00466565,0.00496355,0.00580956,0.00547545,0.00598332,0.00608571,0.00623931,0.00867972,0.00744023,0.0073971,0.00706972,0.00935094,0.00719066,0.00781863,0.00409873,0.00334175,0.00324814,0.00313755,0.00302903,0.00295447,0.00284935,0.00274154,0.00266049,0.00257664,0.0025387,0.00248162,0.00239964,0.00228026,0.00226198,0.00225955,0.00223266,0.00219371,0.00214588,0.00207267,0.00200271,0.00194695,0.00190634,0.00183678,0.001827,0.00182825,0.00181541,0.00182189,0.00182731,0.00185575,0.00184136,0.00183195,0.00181695,0.00180158,0.00178417,0.00177237,0.00175692,0.00174707,0.00173668,0.00173596,0.00174052,0.00174652,0.00173884,0.00172364,0.00170234,0.00161946,0.00160441,0.00165002,0.00163448
25,0.0054877,0.00532129,0.00518366,0.0050426,0.00491551,0.00476871,0.00471842,0.00501625,0.00586503,0.00552996,0.00603817,0.00613969,0.00629171,0.00874021,0.00749544,0.0074522,0.00712391,0.00938217,0.00718952,0.00783726,0.00412837,0.00336661,0.00327119,0.00315789,0.00304764,0.00297202,0.00286648,0.00275868,0.00267772,0.00259375,0.00255614,0.00249821,0.00241485,0.00229557,0.00227761,0.00227505,0.00224829,0.00220905,0.00216095,0.00208796,0.00201728,0.00196076,0.00191958,0.00184858,0.00183787,0.00183926,0.00182619,0.00183241,0.00183782,0.00186739,0.00185292,0.00184329,0.00182943,0.00181531,0.00179803,0.00178645,0.0017694,0.00176112,0.00175081,0.00174118,0.00173998,0.00175016,0.00175088,0.00173607,0.00171513,0.00157502,0.00156029,0.0016593,0.00164363
26,0.00555058,0.0053806,0.00524016,0.0050961,0.00496734,0.00481801,0.00476629,0.00506371,0.00591432,0.00557934,0.00608668,0.00618792,0.00633951,0.00879324,0.00754242,0.00749856,0.00716923,0.0094364,0.00721142,0.00782301,0.00414496,0.00338808,0.00328958,0.00317422,0.00306127,0.00298488,0.00287913,0.00277182,0.00269163,0.00260787,0.00257036,0.00251299,0.00242909,0.00230929,0.00229235,0.00228994,0.00226362,0.00222516,0.00217707,0.0021043,0.00203322,0.00197669,0.0019353,0.00186293,0.00185152,0.00185288,0.00183991,0.00184608,0.00185159,0.00188212,0.00186797,0.00185845,0.00184478,0.00183276,0.0018168,0.001804,0.00178723,0.00177748,0.00176871,0.00175918,0.00174923,0.00175386,0.00176358,0.00175427,0.0017321,0.00154255,0.00153162,0.00167243,0.00165694
27,0.00562342,0.00545022,0.00530694,0.00515951,0.00502821,0.00487596,0.00482259,0.00511856,0.00596908,0.00563504,0.00613994,0.00624044,0.00639204,0.00884923,0.00759251,0.00754636,0.00721599,0.00948719,0.00725827,0.00784377,0.00415878,0.00341189,0.0033169,0.00319818,0.00308306,0.00300492,0.00289901,0.00279211,0.00271242,0.00262893,0.00259153,0.00253411,0.00245099,0.00233088,0.00231353,0.0023117,0.00228597,0.0022482,0.00220069,0.00212787,0.00205586,0.0019993,0.00195814,0.00188424,0.00187227,0.00187361,0.00186048,0.00186679,0.00187252,0.00190398,0.00188986,0.00188071,0.00186772,0.00185555,0.00184237,0.00182962,0.00181162,0.00180218,0.00179189,0.00178386,0.00177397,0.00176999,0.00177946,0.00177811,0.00175873,0.00154132,0.00153633,0.00169504,0.00167675
28,0.00571002,0.00553364,0.00538765,0.00523661,0.00510221,0.00494606,0.00488962,0.00517723,0.00601201,0.00568397,0.00617508,0.00627233,0.00642032,0.00884246,0.00760019,0.00755039,0.00722138,0.0094593,0.00726014,0.00783629,0.00418815,0.00344125,0.00335114,0.00323559,0.00311702,0.00303764,0.00293032,0.0028235,0.00274416,0.00266028,0.00262298,0.0025654,0.00248206,0.00236269,0.00234508,0.00234213,0.00231729,0.00228007,0.00223281,0.0021601,0.00208679,0.00202953,0.00198854,0.00191331,0.00190071,0.00190201,0.00188864,0.00189484,0.00190089,0.00193326,0.0019191,0.00190997,0.00189842,0.00188636,0.00187243,0.00186207,0.00184399,0.00183336,0.00182327,0.00181367,0.00180523,0.00180139,0.00180475,0.00180489,0.00179245,0.00156773,0.00157062,0.00172493,0.00170578
29,0.00581008,0.00563013,0.00548134,0.00532679,0.00518889,0.00502833,0.00496654,0.00523662,0.00603592,0.00572014,0.00618297,0.00627344,0.00641351,0.00874891,0.00754682,0.00749493,0.00717126,0.00932711,0.00720127,0.00775392,0.00422781,0.00349329,0.00339161,0.0032808,0.00316546,0.00308348,0.00297486,0.00286664,0.00278721,0.0027028,0.00266504,0.00260706,0.00252322,0.0024031,0.00238666,0.00238279,0.00235676,0.00232014,0.00227284,0.00219963,0.00212534,0.00206689,0.00202546,0.00194862,0.00193577,0.00193684,0.00192311,0.00192919,0.00193526,0.00196851,0.00195427,0.00194508,0.00193453,0.00192395,0.00190947,0.00189742,0.00188159,0.00187096,0.00185955,0.00185006,0.00183999,0.00183771,0.00184064,0.00183728,0.00182731,0.00160071,0.00161929,0.00175996,0.00174053
