age,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
20,79894.505,80556.942,81195.224,81814.787,82408.549,82967.446,83401.85,83340.148,82522.853,82876.225,82677.41,82634.789,82527.618,79469.011,81052.509,81151.788,81637.385,78832.257,81702.214,81028.77,85959.645,87115.446,87384.556,87679.722,87971.446,88222.252,88573.605,88936.644,89235.839,89564.933,89758.371,90026.582,90371.17,90817.146,91066.144,91322.375,91624.303,91989.876,92360.958,92778.909,93121.605,93419.345,93617.182,93976.778,94118.119,94265.348,94409.481,94500.984,94587.067,94654.706,94751.928,94827.826,94906.374,94967.825,95027.204,95082.589,95147.79,95196.424,95236.423,95279.776,95315.535,95340.644,95381.033,95433.697,95492.622,95546.378,95613.755,95673.931,95734.374
21,79424.477,80092.238,80735.261,81359.515,81957.828,82521.452,82952.033,82842.357,81910.466,82303.685,82026.555,81964.007,81832.565,78481.413,80200.276,80297.952,80815.601,77743.696,80860.056,80108.921,85492.023,86741.453,87016.361,87318.868,87617.354,87873.524,88235.111,88610.457,88919.322,89257.421,89452.728,89724.815,90076.818,90536.847,90786.89,91040.44,91344.269,91714.598,92091.326,92519.037,92866.858,93169.328,93369.821,93733.522,93871.83,94016.974,94160.409,94248.426,94332.366,94397.724,94496.14,94572.843,94652.197,94714.475,94774.83,94831.2,94898.669,94948.532,94989.634,95033.831,95070.293,95095.357,95137.091,95191.6,95253.048,95309.442,95379.606,95442.484,95505.571
22,78930.768,79604.337,80252.551,80881.946,81485.247,82054.033,82480.592,82319.493,81264.97,81701.433,81339.963,81256.168,81098.794,77437.084,79299.265,79395.235,79946.87,76592.762,79969.654,79136.082,85001.568,86351.563,86632.659,86942.977,87248.658,87510.568,87883.007,88271.412,88590.586,88938.216,89135.601,89411.837,89771.732,90246.658,90497.946,90748.731,91054.687,91430.137,91812.925,92250.989,92604.306,92911.882,93115.407,93483.32,93618.548,93761.601,93904.387,93988.832,94070.6,94133.643,94233.359,94310.961,94391.181,94454.362,94515.766,94573.177,94643.011,94694.183,94736.454,94781.546,94818.761,94843.814,94886.942,94943.348,95007.383,95066.505,95139.513,95205.167,95270.967
23,78423.46,79103.176,79756.898,80391.754,81000.353,81574.61,81997.327,81784.577,80606.777,81087.196,80640.798,80535.747,80352.445,76380.912,78385.773,78480.104,79065.767,75431.188,79067.048,78151.393,84500.831,85952.725,86240.287,86558.747,86871.925,87139.84,87523.558,87925.54,88255.46,88612.984,88812.6,89093.185,89461.308,89951.705,90204.393,90452.381,90760.637,91141.469,91530.617,91979.448,92338.529,92651.477,92858.302,93230.504,93362.655,93503.635,93645.818,93726.654,93806.249,93866.972,93968.064,94046.636,94127.768,94191.907,94254.415,94312.907,94385.163,94437.694,94481.181,94527.203,94565.207,94590.279,94634.829,94693.157,94759.812,94822.872,94898.867,94966.046,95034.592
24,77911.442,78597.445,79256.808,79897.259,80511.29,81091.151,81510.242,81246.736,79947.76,80471.695,79941.811,79815.957,79607.315,75333.727,77477.377,77570.163,78189.121,74282.174,78169.533,77174.007,83997.984,85550.829,85844.99,86171.748,86492.562,86766.61,87161.802,87577.597,87918.47,88286.05,88487.976,88773.001,89149.51,89655.642,89909.812,90154.985,90465.627,90851.963,91247.624,91707.42,92072.397,92390.85,92601.127,92977.626,93106.712,93245.627,93387.234,93464.444,93541.866,93600.269,93702.775,93782.352,93864.419,93929.543,93993.18,94052.773,94127.472,94181.385,94226.109,94273.08,94311.887,94336.999,94382.984,94443.247,94512.533,94583.484,94662.875,94727.262,94798.567
25,77400.899,78093.148,78758.112,79404.122,80023.554,80608.989,81024.524,80710.962,79292.694,79859.579,79247.524,79101.247,78867.769,74299.565,76578.206,76669.487,77320.953,73149.405,77281.001,76207.66,83497.042,85149.805,85450.563,85785.617,86114.065,86394.247,86800.905,87230.507,87582.342,87959.963,88164.208,88453.666,88838.558,89360.425,89616.091,89858.428,90171.456,90563.291,90965.483,91436.258,91807.143,92131.122,92344.904,92725.641,92851.656,92988.501,93129.527,93203.101,93278.342,93334.42,93438.341,93518.927,93601.926,93668.038,93732.807,93793.498,93870.636,93925.934,93971.896,94019.819,94059.429,94084.587,94132.013,94194.215,94266.139,94351.073,94434.452,94489.389,94563.462
26,76895.051,77593.372,78263.777,78915.191,79539.874,80130.738,80542.688,80179.634,78643.816,79252.998,78559.999,78393.636,78135.767,73280.15,75690.06,75779.842,76462.997,72034.367,76403.098,75253.894,82999.738,84751.319,85058.584,85401.828,85737.809,86024.046,86442.028,86885.275,87247.949,87635.485,87842.01,88135.827,88528.996,89066.436,89323.561,89563.034,89878.391,90275.635,90684.285,91165.94,91542.666,91872.117,92089.387,92474.27,92597.185,92731.939,92872.359,92942.283,93015.326,93069.066,93174.378,93255.957,93339.866,93406.955,93472.844,93534.617,93614.179,93670.851,93718.042,93766.907,93807.311,93832.51,93881.38,93945.528,94020.097,94125.145,94213.022,94251.902,94328.752
27,76394.009,77098.183,77773.822,78430.436,79060.175,79656.277,80064.576,79652.554,78000.888,78651.68,77878.945,77692.818,77410.987,72275.065,74812.562,74900.84,75614.854,70936.543,75535.398,74312.243,82505.601,84354.864,84668.513,85019.802,85363.187,85655.372,86084.492,86541.173,86914.523,87311.818,87520.566,87818.651,88219.959,88772.765,89031.292,89267.873,89585.48,89988.019,90403.029,90895.43,91277.908,91612.756,91833.468,92222.411,92342.186,92474.819,92614.601,92680.857,92751.679,92803.062,92909.736,92992.285,93077.079,93145.127,93212.119,93274.956,93356.927,93414.96,93463.366,93513.163,93554.35,93579.578,93629.897,93695.999,93773.227,93902.476,93995.018,94013.636,94093.28
28,75895.815,76605.636,77286.312,77947.935,78582.547,79183.71,79588.377,79128.434,77363.742,78055.091,77204.647,76999.28,76694.173,71287.546,73947.865,74034.668,74778.484,69860.061,74680.088,73385.582,82013.514,83958.495,84278.419,84637.629,84988.305,85286.345,85726.449,86196.39,86580.282,86987.212,87198.133,87500.411,87909.749,88477.761,88737.639,88971.303,89291.096,89698.839,90120.13,90623.176,91011.334,91351.523,91575.628,91968.581,92085.172,92215.658,92354.773,92417.339,92485.919,92534.926,92642.938,92726.438,92812.099,92881.093,92949.174,93013.062,93097.44,93156.822,93206.435,93257.157,93299.116,93324.361,93376.136,93444.204,93524.11,93678.979,93775.693,93773.189,93855.648
29,75397.847,76113.157,76798.712,77465.191,78104.532,78710.621,79111.886,78606.293,76734.005,77464.001,76539.785,76316.169,75989.061,70327.109,73102.969,73188.41,73960.45,68816.517,73844.26,72482.593,81522.905,83559.728,83885.859,84252.916,84610.82,84914.661,85365.667,85848.782,86243.148,86659.658,86872.723,87179.158,87596.476,88179.636,88440.832,88671.562,88993.507,89406.412,89833.949,90347.608,90741.42,91086.928,91314.399,91711.362,91824.73,91953.046,92091.476,92150.333,92216.651,92263.264,92372.607,92457.048,92543.566,92613.504,92682.669,92747.605,92834.402,92895.128,92945.946,92997.594,93040.322,93065.571,93118.812,93188.861,93271.467,93452.201,93551.771,93529.288,93614.588
