age,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
21,81267.463,81982.96,82645.156,83292.019,83903.63,84518.81,84976.229,84978.978,84264.744,84591.274,84498.333,84513.275,84437.816,81603.646,83135.812,83247.418,83724.178,81110.306,83840.465,83227.433,87924.115,89040.048,89319.073,89620.263,89919.176,90157.175,90454.884,90736.811,90964.111,91236.246,91415.563,91662.28,91958.802,92307.053,92525.049,92780.028,93042.158,93341.599,93643.506,93966.736,94273.3,94520.172,94682.855,95023.694,95177.701,95318.646,95455.892,95562.382,95654.706,95699.8,95782.931,95839.578,95907.929,95959.696,96010.733,96052.897,96095.979,96128.415,96153.878,96189.551,96217.613,96237.283,96269.561,96310.692,96362.713,96396.248,96446.984,96492.067,96533.481
22,80853.503,81577.655,82246.891,82901.397,83519.9,84143.643,84602.763,84580.747,83800.845,84152.501,84018.346,84024.554,83936.899,80927.884,82545.652,82656.768,83153.215,80376.186,83261.891,82603.62,87581.843,88758.656,89044.617,89354.239,89661.506,89905.144,90210.947,90501.278,90734.907,91013.527,91195.484,91446.374,91749.195,92106.888,92325.845,92580.327,92844.024,93146.11,93451.486,93780.387,94092.337,94343.483,94509.19,94855.577,95009.988,95150.46,95288.496,95394.111,95485.706,95528.122,95612.293,95669.593,95739.417,95792.631,95845.329,95888.489,95932.621,95964.75,95989.905,96025.722,96054.337,96074.035,96107.229,96149.739,96203.438,96238.264,96290.629,96337.63,96380.947
23,80428.91,81161.901,81838.351,82500.658,83126.224,83758.694,84219.58,84172.499,83326.126,83703.462,83527.545,83524.931,83424.905,80239.457,81944.329,82057.178,82573.671,79631.43,82672.358,81968.743,87231.117,88469.685,88762.707,89080.917,89396.674,89646.096,89960.225,90259.22,90499.395,90784.739,90969.497,91224.724,91534.087,91901.588,92121.647,92375.713,92641.126,92946.009,93255.051,93589.9,93907.491,94163.15,94332.13,94684.21,94839.132,94979.183,95118.09,95222.854,95313.761,95353.472,95438.77,95496.79,95568.047,95622.7,95677.036,95721.14,95766.801,95799.367,95824.301,95859.761,95888.579,95908.321,95942.378,95986.326,96041.848,96078.902,96132.835,96180.592,96225.643
24,79997.787,80739.783,81423.562,82093.776,82726.514,83367.83,83830.592,83758.759,82846.536,83249.436,83032.296,83021.111,82908.916,79549.22,81339.966,81455.513,81994.014,78890.562,82081.661,81332.774,86876.346,88176.451,88476.668,88803.587,89127.944,89383.23,89705.808,90013.596,90260.395,90552.551,90740.231,90999.924,91315.956,91693.451,91914.67,92168.376,92435.624,92743.396,93056.187,93397.117,93720.525,93980.848,94153.26,94511.166,94666.69,94806.357,94946.2,95050.142,95140.371,95177.337,95263.822,95322.611,95395.22,95451.259,95507.214,95552.281,95599.407,95632.86,95658.304,95693.489,95722.017,95741.446,95776.278,95821.615,95879.085,95921.653,95977.036,96022.475,96068.985
25,79562.696,80313.861,81005.06,81683.252,82323.214,82973.469,83438.182,83341.857,82364.35,82792.602,82534.712,82515.18,82391.078,78859.364,80734.801,80852.979,81414.183,78155.079,81493.6,80698.591,86519.712,87881.188,88188.734,88524.5,88857.555,89118.758,89449.803,89766.389,90019.803,90318.759,90509.372,90773.624,91096.401,91483.905,91706.28,91959.64,92228.757,92539.458,92856.015,93203.024,93532.337,93797.403,93973.322,94337.173,94493.379,94632.665,94773.479,94876.629,94966.181,95000.323,95088.019,95147.606,95221.455,95278.797,95336.305,95382.406,95430.999,95465.258,95491.646,95527.265,95555.581,95574.203,95609.309,95656.002,95715.393,95768.564,95825.285,95863.722,95911.652
26,79124.794,79885.259,80583.972,81270.223,81917.428,82576.703,83043.429,82922.876,81880.681,82333.997,82035.87,82008.142,81872.373,78171.052,80130.042,80250.83,80834.429,77423.149,80908.916,80069.172,86162.549,87584.885,87899.917,88244.67,88586.559,88853.718,89193.201,89518.507,89778.454,90084.163,90277.672,90546.467,90876.036,91273.512,91496.972,91749.983,92020.928,92334.516,92654.828,93007.863,93343.103,93612.925,93792.368,94162.269,94319.228,94458.128,94599.914,94702.289,94791.158,94822.388,94911.278,94971.663,95046.685,95105.164,95164.149,95211.328,95261.445,95296.501,95323.752,95360.222,95389.02,95406.903,95441.449,95489.212,95550.559,95619.396,95677.257,95704.16,95753.502
27,78683.963,79453.823,80160.133,80854.558,81509.05,82177.429,82646.24,82501.782,81395.618,81873.632,81535.894,81500.113,81352.852,77484.525,79525.954,79649.415,80255.108,76694.046,80325.669,79444.41,85805.556,87287.605,87610.043,87963.954,88314.825,88588.009,88935.889,89269.816,89536.199,89848.597,90044.972,90318.258,90654.566,91061.996,91286.504,91539.126,91811.839,92128.225,92452.241,92811.26,93152.455,93427.009,93609.959,93986.014,94143.78,94282.295,94425.049,94526.644,94614.816,94643.056,94733.116,94794.273,94870.419,94929.938,94990.199,95038.505,95090.184,95126.09,95154.199,95191.44,95221.131,95238.952,95272.523,95320.71,95383.93,95472.07,95530.603,95543.156,95594.029
28,78239.352,79018.672,79732.644,80435.369,81097.24,81774.85,82245.88,82078.169,80909.476,81411.581,81035.381,80991.811,80833.358,76802.126,78924.134,79050.453,79677.857,75970.924,79744.677,78823.994,85448.198,86989.022,87318.438,87681.441,88041.472,88320.766,88677.05,89019.518,89292.253,89611.298,89810.509,90088.264,90431.241,90848.545,91074.119,91326.372,91600.766,91919.872,92247.526,92612.489,92959.708,93238.999,93425.418,93807.726,93966.348,94104.477,94248.211,94349.025,94436.475,94461.647,94552.872,94614.777,94691.941,94752.495,94813.929,94863.242,94916.538,94953.331,94982.357,95020.368,95050.877,95069.038,95101.939,95150.097,95214.719,95323.773,95382.315,95379.919,95432.491
29,77789.995,78578.837,79300.522,80011.661,80681.03,81368.045,81841.569,81651.91,80423.547,80948.692,80536.204,80485.348,80316.315,76129.54,78328.649,78458.003,79106.518,75260.627,79170.136,78211.926,85089.392,86687.934,87024.554,87396.225,87765.349,88050.871,88415.612,88766.613,89045.642,89371.326,89573.365,89855.578,90205.209,90632.323,90858.906,91110.874,91386.945,91708.691,92039.944,92410.828,92764.137,93048.223,93238.103,93626.762,93786.272,93924.025,94068.758,94168.802,94255.514,94277.545,94369.932,94432.582,94510.642,94572.15,94634.812,94685.092,94739.895,94777.626,94807.619,94846.464,94877.795,94896.214,94928.757,94976.979,95042.549,95172.88,95230.308,95213.871,95268.189
30,77335.012,78133.465,78862.921,79582.577,80259.566,80956.181,81432.599,81222.82,79938.696,80485.497,80039.666,79982.209,79803.437,75470.852,77742.462,77874.926,78543.704,74567.899,78604.994,77611.823,84728.599,86382.744,86727.416,87107.993,87485.768,87777.391,88150.702,88510.296,88795.631,89127.965,89332.828,89619.532,89975.826,90412.763,90640.281,90891.955,91169.79,91494.2,91829.013,92205.835,92565.289,92854.225,93047.6,93442.752,93603.163,93740.54,93886.305,93985.592,94071.565,94090.4,94183.948,94247.342,94326.261,94388.537,94452.378,94503.794,94560.076,94598.625,94629.647,94669.384,94701.606,94720.28,94752.405,94800.897,94867.371,95019.146,95073.618,95044.584,95100.795
