"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"44",-0.0284160935916624,-0.0327485812825561,-0.0377633026112978,-0.046189260322608,-0.0540062776529462,-0.0623508426084731,-0.0683824908513593,-0.0771012854242299,-0.086972521987164,-0.0959799042563185,-0.0987760819619385,-0.0337679396550818,-0.17893766625229,-0.103761674230634,-0.107024461806629
"45",-0.0297795962267742,-0.0346398858239914,-0.0364565777748211,-0.0455867667092411,-0.0531246144257898,-0.0610013575389754,-0.0689706192797166,-0.0782064539638254,-0.086960290842816,-0.0942509436190644,-0.099885153253779,-0.0369946518254505,-0.18660119596905,-0.103306099686622,-0.107552323885796
"46",-0.0289047326573026,-0.0362641313361145,-0.0385862271408701,-0.0445121528944492,-0.0527559820014405,-0.0603898331941721,-0.0678879263705694,-0.0790789359751845,-0.0878280279503496,-0.0945104440378657,-0.0988966256315349,-0.0384139283433775,-0.19626966129433,-0.104384937701551,-0.107646559284805
"47",-0.0258119626599758,-0.0353700012975429,-0.0402266278642829,-0.046692584050029,-0.0517434254619227,-0.0600924870710822,-0.0673438032975033,-0.0780740751368496,-0.0881699645340444,-0.0951069001773668,-0.0993655109981599,-0.0379725178598376,-0.202151099432474,-0.10868057656104,-0.109073520411412
"48",-0.022866913441141,-0.032341470490576,-0.0394575160688255,-0.0485059377509378,-0.0541009454724621,-0.0592007869662456,-0.0671726282875751,-0.0776659959904746,-0.0871641791494264,-0.0950096381738215,-0.0998366620145195,-0.0382218464069304,-0.204835726274726,-0.111056740438446,-0.113686719908264
"49",-0.0232282512183186,-0.0298433157197877,-0.0369725889142982,-0.0483439176021472,-0.0565829736183501,-0.0623234907796846,-0.0671111836712743,-0.0783648781557194,-0.0875320604031815,-0.0948982870436943,-0.100350837395426,-0.0378963921407856,-0.208957031521073,-0.112028506641552,-0.117410368031065
"50",-0.0160552204877229,-0.0292841773805668,-0.0335655750184376,-0.0449192719222848,-0.0553916222118396,-0.06372605806646,-0.0690671008873327,-0.0770375107697303,-0.0870810600482885,-0.0938832408807491,-0.0988116956725538,-0.0347481080823639,-0.20904759448849,-0.112681433240593,-0.116868429363689
"51",-0.0186864293275448,-0.0221759824515555,-0.0331154946792349,-0.0416609230187834,-0.0520580300656786,-0.0626314758215027,-0.0705607922128326,-0.0791447116345703,-0.0866444156984079,-0.0937118052247365,-0.0979147408730032,-0.0312047515963094,-0.205927778464416,-0.11330211258236,-0.117783420574999
"52",-0.0293767778142264,-0.025966866876078,-0.0273596397835885,-0.0425968023677177,-0.0502665246171299,-0.0608670347783535,-0.0711164848530341,-0.082395865366224,-0.0905014659802683,-0.095971646662333,-0.0999749938305268,-0.0305708590144507,-0.202081314537127,-0.115236526128573,-0.120944468881945
"53",-0.0295983386803194,-0.0368269701639266,-0.0313094989559026,-0.0370500570722347,-0.0513454692400623,-0.059220349384721,-0.0694513246477495,-0.0831015188193485,-0.0932401360968464,-0.0999161054158826,-0.10299586437009,-0.0306673748671935,-0.197998479827854,-0.116611281480258,-0.123107629913643
"54",-0.033492971526047,-0.0379163235098448,-0.0430466730858727,-0.041959845806236,-0.0468155417887068,-0.0614117701976458,-0.0689691779096258,-0.0827086791691478,-0.0947898344583695,-0.103491513719614,-0.108415786245359,-0.0322522163439256,-0.19726958166603,-0.120043810929332,-0.126354771389114
"55",-0.035435512844562,-0.0422331998405623,-0.0445605066603019,-0.0541155757391447,-0.052155950184213,-0.0572704466193308,-0.0716079258899169,-0.0826709418689759,-0.0947358263739515,-0.105106379072674,-0.112005041225629,-0.0344597483467783,-0.198284826537372,-0.124692285373878,-0.130412179699163
"56",-0.0315492299027973,-0.0435839507003157,-0.0482314852379906,-0.0548963995656404,-0.0635540101002281,-0.0617533367145091,-0.0664922745745473,-0.084326975952659,-0.0933059217447196,-0.103806103747746,-0.112119540705899,-0.0326888151216025,-0.198804129648513,-0.1287169661572,-0.133739264829214
